timestamp,farm_id,revenue,operating_costs,labor_costs,equipment_costs,seed_costs,fertilizer_costs,pesticide_costs,fuel_costs,total_costs,gross_profit,profit_margin,market_demand_index,price_volatility,competitor_count,market_share,customer_satisfaction,brand_value,investment_required,roi_projection,risk_score,latitude,longitude,climate_zone
2025-08-06T22:09:32.468373,farm_0001,9380.79,2897.27,1986.27,1134.41,931.42,769.48,582.48,733.63,9034.96,345.83,3.69,1.468,0.195,8,0.223,4.36,9994.25,9523.89,0.22,0.319,28.90142861281983,-80.5360121163772,tropical
2025-08-07T22:09:32.468373,farm_0001,49055.34,19753.59,12919.85,8279.85,3418.52,3125.14,1503.37,4013.49,53013.8,-3958.46,-8.07,0.868,0.301,8,0.198,3.32,2072.87,14060.82,0.24,0.369,28.90142861281983,-80.5360121163772,tropical
2025-08-08T22:09:32.468373,farm_0001,6936.92,3121.48,1408.55,1113.56,845.46,664.51,505.3,570.22,8229.09,-1292.17,-18.63,0.682,0.184,11,0.204,3.88,6572.29,17378.6,0.17,0.355,28.90142861281983,-80.5360121163772,tropical
2025-08-09T22:09:32.468373,farm_0001,4258.19,1688.89,977.12,521.05,435.68,359.85,100.58,228.46,4311.63,-53.45,-1.26,1.469,0.132,8,0.277,4.59,1339.8,28021.25,0.06,0.196,28.90142861281983,-80.5360121163772,tropical
2025-08-10T22:09:32.468373,farm_0001,2041.26,657.69,496.77,221.67,201.28,126.31,98.25,138.52,1940.49,100.77,4.94,0.767,0.346,6,0.137,4.35,1201.68,5904.98,0.15,0.707,28.90142861281983,-80.5360121163772,tropical
2025-08-11T22:09:32.468373,farm_0001,3117.56,1199.43,759.83,354.97,320.76,310.22,246.72,157.66,3349.58,-232.02,-7.44,0.914,0.219,10,0.186,3.21,8822.92,12222.14,0.05,0.704,28.90142861281983,-80.5360121163772,tropical
2025-08-12T22:09:32.468373,farm_0001,43945.97,17222.24,10387.5,8698.45,5060.88,2608.18,1175.94,4296.39,49449.58,-5503.6,-12.52,0.862,0.124,3,0.257,3.54,7830.9,8861.09,0.24,0.445,28.90142861281983,-80.5360121163772,tropical
2025-08-13T22:09:32.468373,farm_0001,18680.87,6178.12,4422.93,3649.82,1768.27,1019.69,1132.94,636.1,18807.86,-126.99,-0.68,0.6,0.123,6,0.144,4.55,7455.59,36379.48,0.17,0.342,28.90142861281983,-80.5360121163772,tropical
2025-08-14T22:09:32.468373,farm_0001,34090.83,15991.05,9883.97,5407.21,3955.39,2477.16,949.27,2643.24,41307.28,-7216.45,-21.17,1.392,0.182,9,0.091,4.04,5306.23,17186.01,0.16,0.376,28.90142861281983,-80.5360121163772,tropical
2025-08-15T22:09:32.468373,farm_0001,47580.09,16263.66,10483.94,5403.0,5580.37,4750.3,3360.85,4221.87,50063.99,-2483.9,-5.22,0.605,0.248,12,0.28,4.69,3646.8,15202.68,0.23,0.158,28.90142861281983,-80.5360121163772,tropical
2025-08-16T22:09:32.468373,farm_0001,45821.26,22018.45,10856.09,8470.68,5977.36,2306.41,1875.84,4184.3,55689.13,-9867.87,-21.54,0.96,0.334,3,0.064,3.5,1527.25,47608.59,0.15,0.313,28.90142861281983,-80.5360121163772,tropical
2025-08-17T22:09:32.468373,farm_0001,12309.5,5368.89,3519.03,2188.45,1509.93,761.54,471.57,381.26,14200.65,-1891.15,-15.36,1.071,0.214,14,0.178,4.1,2855.72,48708.69,0.21,0.433,28.90142861281983,-80.5360121163772,tropical
2025-08-18T22:09:32.468373,farm_0001,44537.9,18590.44,11673.31,6758.7,3099.82,2531.04,1044.9,2235.73,45933.93,-1396.02,-3.13,1.282,0.135,14,0.252,3.63,6162.63,14834.0,0.1,0.509,28.90142861281983,-80.5360121163772,tropical
2025-08-19T22:09:32.468373,farm_0001,2924.86,904.7,839.83,482.6,432.47,150.91,203.15,216.17,3229.83,-304.97,-10.43,0.688,0.153,4,0.211,3.75,7222.52,14229.52,0.09,0.461,28.90142861281983,-80.5360121163772,tropical
